Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3153207,0.8707223,-0.008999795,-12.20026,-10.91687,83.73044,1.467621,701.1879
-0.3116106,0.8693551,-0.008090012,-12.20026,-10.89215,83.73193,1.468327,700.7416
-0.3010151,0.8677759,-0.005943651,-12.20026,-10.91992,83.7322,1.468905,700.8959
-0.3010054,0.8679314,-0.008866019,-12.20026,-10.87534,83.73225,1.469922,700.3947
-0.3097183,0.8766348,-0.01215427,-12.20026,-10.91998,83.73277,1.471861,700.5665
-0.3074364,0.8714998,-0.0121865,-12.19925,-10.90945,83.73168,1.472646,700.8692
-0.3058697,0.8760749,-0.01147138,-12.19925,-10.87726,83.7306,1.472465,700.6088
-0.2948394,0.866309,-0.01002454,-12.19925,-10.86227,83.73116,1.477447,700.6508
-0.2951874,0.8716676,-0.008429613,-12.19925,-10.82013,83.73279,1.470456,700.6844
-0.2891628,0.8657339,-0.006289514,-12.19925,-10.84216,83.73274,1.473535,700.6076
-0.2974003,0.8721573,-0.005702649,-12.19925,-10.81302,83.7315,1.471261,700.6122
-0.2816859,0.8574846,-0.002148113,-12.19925,-10.77682,83.73316,1.477387,700.212
-0.2817019,0.8633529,-0.003466138,-12.19925,-10.79993,83.73176,1.48005,700.244
-0.2786457,0.8627366,-0.007777785,-12.19925,-10.71915,83.72951,1.477907,700.1021
-0.2807809,0.8689916,-0.01137874,-12.19925,-10.72577,83.7306,1.479631,699.9039
-0.2751578,0.8673449,-0.01424896,-12.19925,-10.70886,83.7307,1.477849,699.8042
-0.2856193,0.8726976,-0.01914212,-12.19925,-10.71869,83.7322,1.481701,699.7854
-0.2774695,0.8692702,-0.01684158,-12.19925,-10.72156,83.73145,1.480452,699.6083
-0.269837,0.8658761,-0.01550232,-12.19925,-10.67676,83.73086,1.485261,699.8565
-0.2772494,0.8773499,-0.01693128,-12.19925,-10.75821,83.7316,1.482346,699.7074
-0.2730289,0.8716008,-0.01646917,-12.19925,-10.74106,83.73145,1.480983,699.9495
-0.2700028,0.8744748,-0.01342145,-12.19925,-10.71658,83.73309,1.484221,699.8311
-0.2712681,0.8725503,-0.01552771,-12.19925,-10.70438,83.73253,1.480777,699.4626
-0.2770062,0.8814485,-0.01697506,-12.19925,-10.68808,83.73153,1.485325,699.9551
-0.2797311,0.8798842,-0.0204538,-12.19925,-10.75992,83.73035,1.480668,700.0575
-0.2821732,0.8840645,-0.02008196,-12.1994,-10.76151,83.73174,1.480255,700.0444
-0.2777437,0.8796722,-0.02003043,-12.1994,-10.75323,83.73215,1.478521,699.8469
-0.281181,0.8809518,-0.02054908,-12.1994,-10.81476,83.73055,1.483088,699.8305
-0.2840006,0.8817145,-0.02179476,-12.1994,-10.7522,83.73124,1.478093,699.7337
-0.2813181,0.8761762,-0.02135259,-12.1994,-10.71347,83.73089,1.480828,700.0076
-0.2795814,0.8747808,-0.02103441,-12.1994,-10.71851,83.73302,1.480012,699.6932
-0.2869202,0.8786294,-0.02275603,-12.1994,-10.79657,83.73118,1.478765,699.853
-0.2844427,0.8809352,-0.02136465,-12.1994,-10.72232,83.73246,1.481722,700.0374
-0.2904869,0.8783305,-0.02326237,-12.1994,-10.82153,83.73158,1.476795,699.7992
-0.2854974,0.8785159,-0.01935961,-12.1994,-10.81189,83.73165,1.480117,700.1849
-0.2920237,0.8738635,-0.02087196,-12.1994,-10.84616,83.7333,1.474823,699.8573
-0.3008908,0.8812882,-0.0199023,-12.1994,-10.82236,83.73237,1.479332,700.5259
-0.302646,0.8742061,-0.01895511,-12.1994,-10.80316,83.7311,1.473315,700.2354
-0.311556,0.8832931,-0.01863901,-12.1994,-10.82916,83.73167,1.473884,700.9474
-0.3091611,0.8790798,-0.01711863,-12.1994,-10.90457,83.73089,1.467552,700.5817
-0.3050785,0.8765107,-0.01530538,-12.1994,-10.9447,83.73196,1.467355,700.6125
